# Time;Field[mT];Voltage[V]
1920;2.3547274995344196;1.2812
1926;2.3547274995344196;1.2812
1932;2.3547274995344196;1.2812
1938;2.3547274995344196;1.2812
1944;2.3547274995344196;1.2812
1950;2.3547274995344196;1.2812
1956;2.3547274995344196;1.2812
1962;2.3547274995344196;1.2812
1968;2.3547274995344196;1.2812
1974;2.3547274995344196;1.2812
1980;2.3547274995344196;1.2812
1986;2.3547274995344196;1.2812
1992;2.3547274995344196;1.2812
1998;2.3547274995344196;1.2812
2004;2.3547274995344196;1.2812
2010;2.3547274995344196;1.2812
2016;2.3547274995344196;1.2812
2022;2.3547274995344196;1.2812
2028;2.3547274995344196;1.2812
2034;2.3547274995344196;1.2812
2040;2.3547274995344196;1.2812
2046;2.3547274995344196;1.2812
2052;2.3547274995344196;1.2812
2058;2.3547274995344196;1.2812
2064;2.3547274995344196;1.2812
2070;2.3547274995344196;1.2812
2076;2.3547274995344196;1.2812
2082;2.3547274995344196;1.2812
2088;2.3547274995344196;1.2812
2094;2.3547274995344196;1.2812
2100;2.3547274995344196;1.2812
2106;2.3547274995344196;1.2812
2112;2.3547274995344196;1.2812
2118;2.3547274995344196;1.2812
2124;2.3547274995344196;1.2812
2130;2.3547274995344196;1.2812
2136;2.3547274995344196;1.2812
2142;2.3547274995344196;1.2812
2148;2.3547274995344196;1.2812
2154;2.3547274995344196;1.2812
2160;2.3547274995344196;1.2812
2166;2.3547274995344196;1.2812
2172;2.3547274995344196;1.2812
2178;2.3547274995344196;1.2812
2184;2.3547274995344196;1.2812
2190;2.3547274995344196;1.2812
2196;2.3547274995344196;1.2812
2202;2.3547274995344196;1.2812
2208;2.3547274995344196;1.2812
2214;2.3547274995344196;1.2812
2220;2.3547274995344196;1.2812
2226;2.3547274995344196;1.2812
2232;2.3547274995344196;1.2812
2238;2.3547274995344196;1.2812
2244;2.3547274995344196;1.2812
2250;2.3547274995344196;1.2812
2256;2.3547274995344196;1.2812
2262;2.3547274995344196;1.2812
2268;2.3547274995344196;1.2812
2274;2.3547274995344196;1.2812
2280;2.3547274995344196;1.2812
2286;2.3547274995344196;1.2812
2292;2.3547274995344196;1.2812
2298;2.3547274995344196;1.2812
2304;2.3547274995344196;1.2812
2310;2.3547274995344196;1.2812
2316;2.3547274995344196;1.2812
2322;2.3547274995344196;1.2812
2328;2.3547274995344196;1.2812
2334;2.3547274995344196;1.2812
2340;2.3547274995344196;1.2812
2346;2.3547274995344196;1.2812
2352;2.3547274995344196;1.2812
2358;2.3547274995344196;1.2812
2364;2.3547274995344196;1.2812
2370;2.3547274995344196;1.2812
2376;2.3547274995344196;1.2812
2382;2.3547274995344196;1.2812
2388;2.3547274995344196;1.2812
2394;2.3547274995344196;1.2812
2400;2.3547274995344196;1.2812
2406;2.3547274995344196;1.2812
2412;2.3547274995344196;1.2812
2418;2.3547274995344196;1.2812
2424;2.3547274995344196;1.2812
2430;2.3547274995344196;1.2812
2436;2.3547274995344196;1.2812
2442;2.3547274995344196;1.2812
2448;2.3547274995344196;1.2812
2454;2.3547274995344196;1.2812
2460;2.3547274995344196;1.2812
2466;2.3547274995344196;1.2812
2472;2.3547274995344196;1.2812
2478;2.3547274995344196;1.2812
2484;2.3547274995344196;1.2812
2490;2.3547274995344196;1.2812
2496;2.3547274995344196;1.2812
2502;2.3547274995344196;1.2812
2508;2.3547274995344196;1.2812
2514;2.3547274995344196;1.2812
2520;2.3547274995344196;1.2812
2526;2.3547274995344196;1.2812
2532;2.3547274995344196;1.2812
2538;2.1365241487146704;1.2811
2544;2.3547274995344196;1.2812
2550;2.3547274995344196;1.2812
2556;2.3547274995344196;1.2812
2562;2.3547274995344196;1.2812
2568;2.3547274995344196;1.2812
2574;2.3547274995344196;1.2812
2580;2.3547274995344196;1.2812
2586;2.3547274995344196;1.2812
2592;2.3547274995344196;1.2812
2598;2.3547274995344196;1.2812
2604;2.3547274995344196;1.2812
2610;2.3547274995344196;1.2812
2616;2.3547274995344196;1.2812
2622;2.3547274995344196;1.2812
2628;2.3547274995344196;1.2812
2634;2.3547274995344196;1.2812
2640;2.3547274995344196;1.2812
2646;2.3547274995344196;1.2812
2652;2.3547274995344196;1.2812
2658;2.3547274995344196;1.2812
2664;2.3547274995344196;1.2812
2670;2.3547274995344196;1.2812
2676;2.3547274995344196;1.2812
2682;2.3547274995344196;1.2812
2688;2.3547274995344196;1.2812
2694;2.3547274995344196;1.2812
2700;2.3547274995344196;1.2812
2706;2.3547274995344196;1.2812
2712;2.3547274995344196;1.2812
2718;2.3547274995344196;1.2812
2724;2.3547274995344196;1.2812
2730;2.3547274995344196;1.2812
2736;2.3547274995344196;1.2812
2742;2.3547274995344196;1.2812
2748;2.3547274995344196;1.2812
2754;2.3547274995344196;1.2812
2760;2.3547274995344196;1.2812
2766;2.3547274995344196;1.2812
2772;2.3547274995344196;1.2812
2778;2.3547274995344196;1.2812
2784;2.3547274995344196;1.2812
2790;2.3547274995344196;1.2812
2796;2.3547274995344196;1.2812
2802;2.3547274995344196;1.2812
2808;2.3547274995344196;1.2812
2814;2.3547274995344196;1.2812
2820;2.3547274995344196;1.2812
2826;2.3547274995344196;1.2812
2832;2.3547274995344196;1.2812
2838;2.3547274995344196;1.2812
2844;2.3547274995344196;1.2812
2850;2.3547274995344196;1.2812
2856;2.3547274995344196;1.2812
2862;2.3547274995344196;1.2812
2868;2.3547274995344196;1.2812
2874;2.3547274995344196;1.2812
2880;2.3547274995344196;1.2812
2886;2.3547274995344196;1.2812
2892;2.3547274995344196;1.2812
2898;2.3547274995344196;1.2812
2904;2.3547274995344196;1.2812
2910;2.3547274995344196;1.2812
2916;2.3547274995344196;1.2812
2922;2.3547274995344196;1.2812
2928;2.3547274995344196;1.2812
2934;2.3547274995344196;1.2812
2940;2.3547274995344196;1.2812
2946;2.3547274995344196;1.2812
2952;2.3547274995344196;1.2812
2958;2.3547274995344196;1.2812
2964;2.3547274995344196;1.2812
2970;2.3547274995344196;1.2812
2976;2.3547274995344196;1.2812
2982;2.3547274995344196;1.2812
2988;2.3547274995344196;1.2812
2994;2.3547274995344196;1.2812
3000;2.3547274995344196;1.2812
3006;2.3547274995344196;1.2812
3012;2.3547274995344196;1.2812
3018;2.3547274995344196;1.2812
3024;2.3547274995344196;1.2812
3030;2.3547274995344196;1.2812
3036;2.3547274995344196;1.2812
3042;2.3547274995344196;1.2812
3048;2.3547274995344196;1.2812
3054;2.3547274995344196;1.2812
3060;2.3547274995344196;1.2812
3066;2.3547274995344196;1.2812
3072;2.3547274995344196;1.2812
3078;2.3547274995344196;1.2812
3084;2.3547274995344196;1.2812
3090;2.3547274995344196;1.2812
3096;2.3547274995344196;1.2812
3102;2.3547274995344196;1.2812
3108;2.3547274995344196;1.2812
3114;2.3547274995344196;1.2812
3120;2.3547274995344196;1.2812
3126;2.3547274995344196;1.2812
3132;2.3547274995344196;1.2812
3138;2.3547274995344196;1.2812
3144;2.3547274995344196;1.2812
3150;2.3547274995344196;1.2812
3156;2.3547274995344196;1.2812
3162;2.3547274995344196;1.2812
3168;2.3547274995344196;1.2812
3174;2.3547274995344196;1.2812
3180;2.3547274995344196;1.2812
3186;2.3547274995344196;1.2812
3192;2.3547274995344196;1.2812
3198;2.3547274995344196;1.2812
3204;2.3547274995344196;1.2812
3210;2.3547274995344196;1.2812
3216;2.3547274995344196;1.2812
3222;2.3547274995344196;1.2812
3228;2.3547274995344196;1.2812
3234;2.3547274995344196;1.2812
3240;2.3547274995344196;1.2812
3246;2.3547274995344196;1.2812
3252;2.3547274995344196;1.2812
3258;2.3547274995344196;1.2812
3264;2.3547274995344196;1.2812
3270;2.3547274995344196;1.2812
3276;2.3547274995344196;1.2812
3282;2.3547274995344196;1.2812
3288;2.3547274995344196;1.2812
3294;2.3547274995344196;1.2812
3300;2.3547274995344196;1.2812
3306;2.3547274995344196;1.2812
3312;2.3547274995344196;1.2812
3318;2.3547274995344196;1.2812
3324;2.3547274995344196;1.2812
3330;2.3547274995344196;1.2812
3336;2.3547274995344196;1.2812
3342;2.3547274995344196;1.2812
3348;2.3547274995344196;1.2812
3354;2.3547274995344196;1.2812
3360;2.3547274995344196;1.2812
3366;2.3547274995344196;1.2812
3372;2.3547274995344196;1.2812
3378;2.3547274995344196;1.2812
3384;2.3547274995344196;1.2812
3390;2.3547274995344196;1.2812
3396;2.3547274995344196;1.2812
3402;2.3547274995344196;1.2812
3408;2.3547274995344196;1.2812
3414;2.3547274995344196;1.2812
3420;2.3547274995344196;1.2812
3426;2.3547274995344196;1.2812
3432;2.3547274995344196;1.2812
3438;2.3547274995344196;1.2812
3444;2.3547274995344196;1.2812
3450;2.3547274995344196;1.2812
3456;2.3547274995344196;1.2812
3462;2.3547274995344196;1.2812
3468;2.3547274995344196;1.2812
3474;2.3547274995344196;1.2812
3480;2.3547274995344196;1.2812
3486;2.3547274995344196;1.2812
3492;2.3547274995344196;1.2812
3498;2.3547274995344196;1.2812
3504;2.3547274995344196;1.2812
3510;2.3547274995344196;1.2812
3516;2.3547274995344196;1.2812
3522;2.3547274995344196;1.2812
3528;2.3547274995344196;1.2812
3534;2.3547274995344196;1.2812
3540;2.3547274995344196;1.2812
3546;2.3547274995344196;1.2812
3552;2.3547274995344196;1.2812
3558;2.3547274995344196;1.2812
3564;2.3547274995344196;1.2812
3570;2.3547274995344196;1.2812
3576;2.3547274995344196;1.2812
3582;2.3547274995344196;1.2812
3588;2.3547274995344196;1.2812
3594;2.3547274995344196;1.2812
3600;2.3547274995344196;1.2812
3606;2.3547274995344196;1.2812
3612;2.3547274995344196;1.2812
3618;2.3547274995344196;1.2812
3624;2.3547274995344196;1.2812
3630;2.3547274995344196;1.2812
3636;2.3547274995344196;1.2812
3642;2.3547274995344196;1.2812
3648;2.3547274995344196;1.2812
3654;2.3547274995344196;1.2812
3660;2.3547274995344196;1.2812
3666;2.3547274995344196;1.2812
3672;2.3547274995344196;1.2812
3678;2.3547274995344196;1.2812
3684;2.3547274995344196;1.2812
3690;2.3547274995344196;1.2812
3696;2.3547274995344196;1.2812
3702;2.3547274995344196;1.2812
3708;2.3547274995344196;1.2812
3714;2.3547274995344196;1.2812
3720;2.3547274995344196;1.2812
3726;2.3547274995344196;1.2812
3732;2.3547274995344196;1.2812
3738;2.3547274995344196;1.2812
3744;2.3547274995344196;1.2812
3750;2.3547274995344196;1.2812
3756;2.3547274995344196;1.2812
3762;2.3547274995344196;1.2812
3768;2.3547274995344196;1.2812
3774;2.3547274995344196;1.2812
3780;2.3547274995344196;1.2812
3786;2.3547274995344196;1.2812
3792;2.3547274995344196;1.2812
3798;2.3547274995344196;1.2812
3804;2.3547274995344196;1.2812
3810;2.3547274995344196;1.2812
3816;2.3547274995344196;1.2812
3822;2.3547274995344196;1.2812
3828;2.3547274995344196;1.2812
3834;2.3547274995344196;1.2812
3840;2.3547274995344196;1.2812
3846;2.3547274995344196;1.2812
3852;2.3547274995344196;1.2812
3858;2.3547274995344196;1.2812
3864;2.3547274995344196;1.2812
3870;2.3547274995344196;1.2812
3876;2.3547274995344196;1.2812
3882;2.3547274995344196;1.2812
3888;2.3547274995344196;1.2812
3894;2.3547274995344196;1.2812
3900;2.3547274995344196;1.2812
3906;2.3547274995344196;1.2812
3912;2.3547274995344196;1.2812
3918;2.3547274995344196;1.2812
3924;2.3547274995344196;1.2812
3930;2.3547274995344196;1.2812
3936;2.3547274995344196;1.2812
3942;2.3547274995344196;1.2812
3948;2.3547274995344196;1.2812
3954;2.3547274995344196;1.2812
3960;2.3547274995344196;1.2812
3966;2.3547274995344196;1.2812
3972;2.3547274995344196;1.2812
3978;2.3547274995344196;1.2812
3984;2.3547274995344196;1.2812
3990;2.3547274995344196;1.2812
3996;2.3547274995344196;1.2812
4002;2.3547274995344196;1.2812
4008;2.3547274995344196;1.2812
4014;2.3547274995344196;1.2812
4020;2.3547274995344196;1.2812
4026;2.3547274995344196;1.2812
4032;2.3547274995344196;1.2812
